<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;05.10.2018;13:45;114740;114820;114720;114790;500
SPFB.RTS-12.18;1;05.10.2018;13:46;114790;114800;114720;114740;313
SPFB.RTS-12.18;1;05.10.2018;13:47;114740;114760;114700;114700;252
SPFB.RTS-12.18;1;05.10.2018;13:48;114700;114760;114700;114740;138
SPFB.RTS-12.18;1;05.10.2018;13:49;114750;114770;114720;114730;76
SPFB.RTS-12.18;1;05.10.2018;13:50;114750;114800;114730;114790;129
SPFB.RTS-12.18;1;05.10.2018;13:51;114800;114800;114780;114800;63
SPFB.RTS-12.18;1;05.10.2018;13:52;114790;114880;114790;114820;498
SPFB.RTS-12.18;1;05.10.2018;13:53;114830;114880;114810;114840;189
SPFB.RTS-12.18;1;05.10.2018;13:54;114830;114930;114830;114920;443
SPFB.RTS-12.18;1;05.10.2018;13:55;114920;115040;114900;114910;1681
SPFB.RTS-12.18;1;05.10.2018;13:56;114890;114960;114880;114930;431
SPFB.RTS-12.18;1;05.10.2018;13:57;114920;114920;114860;114860;467
SPFB.RTS-12.18;1;05.10.2018;13:58;114860;114880;114810;114830;247
SPFB.RTS-12.18;1;05.10.2018;13:59;114830;114840;114720;114720;649
SPFB.RTS-12.18;1;05.10.2018;14:00;114730;114880;114730;114870;338
SPFB.RTS-12.18;1;05.10.2018;14:06;114850;114890;114740;114740;372
SPFB.RTS-12.18;1;05.10.2018;14:07;114750;114760;114670;114670;685
SPFB.RTS-12.18;1;05.10.2018;14:08;114680;114690;114520;114600;1706
SPFB.RTS-12.18;1;05.10.2018;14:09;114610;114650;114570;114640;388
SPFB.RTS-12.18;1;05.10.2018;14:10;114640;114660;114570;114580;303
SPFB.RTS-12.18;1;05.10.2018;14:11;114580;114750;114580;114740;595
SPFB.RTS-12.18;1;05.10.2018;14:12;114730;114740;114700;114720;219
SPFB.RTS-12.18;1;05.10.2018;14:13;114720;114790;114720;114790;761
SPFB.RTS-12.18;1;05.10.2018;14:14;114780;114800;114720;114740;537
SPFB.RTS-12.18;1;05.10.2018;14:15;114740;114780;114740;114770;87
SPFB.RTS-12.18;1;05.10.2018;14:16;114760;114850;114760;114820;377
SPFB.RTS-12.18;1;05.10.2018;14:17;114820;114830;114790;114830;185
SPFB.RTS-12.18;1;05.10.2018;14:18;114830;114920;114830;114890;792
SPFB.RTS-12.18;1;05.10.2018;14:19;114890;114930;114860;114930;241
SPFB.RTS-12.18;1;05.10.2018;14:20;114910;114910;114790;114790;331
SPFB.RTS-12.18;1;05.10.2018;14:21;114810;114860;114790;114860;129
SPFB.RTS-12.18;1;05.10.2018;14:22;114860;114880;114820;114850;190
SPFB.RTS-12.18;1;05.10.2018;14:23;114860;114860;114750;114760;356
SPFB.RTS-12.18;1;05.10.2018;14:24;114760;114790;114720;114740;279
SPFB.RTS-12.18;1;05.10.2018;14:25;114760;114790;114740;114780;60
SPFB.RTS-12.18;1;05.10.2018;14:26;114790;114830;114790;114810;235
SPFB.RTS-12.18;1;05.10.2018;14:27;114820;114930;114820;114890;511
SPFB.RTS-12.18;1;05.10.2018;14:28;114900;114950;114890;114890;583
